Date,Time,Trade Id,Ask,Bid,Price,Size,Volume
10/3/2017,5:28:35,11502330,296.46,296.45,296.45,7.3771,58189.24261
10/3/2017,5:28:50,11502331,296.46,296.45,296.45,16,58189.24261
10/3/2017,5:29:03,11502333,296.46,296.45,296.46,0.00003363,58187.59148
10/3/2017,5:29:06,11502334,296.46,296.45,296.46,0.6271,58187.59148
10/3/2017,5:29:32,11502335,296.46,296.45,296.45,0.37192739,58187.59148
10/3/2017,5:29:34,11502336,296.46,296.45,296.45,49.54685,58187.59148
10/3/2017,5:29:38,11502337,296.46,296.45,296.45,9.984,58187.59148
10/3/2017,5:29:42,11502338,296.46,296.45,296.45,11.79432214,58187.59148
10/3/2017,5:30:01,11502339,296.46,296.45,296.46,0.00336304,58211.59658
10/3/2017,5:30:03,11502340,296.46,296.45,296.46,0.00023541,58211.59658
10/3/2017,5:30:03,11502341,296.46,296.45,296.46,0.00003363,58211.59658
10/3/2017,5:30:10,11502342,296.46,296.45,296.45,3.2359,58211.59658
10/3/2017,5:30:19,11502343,296.46,296.45,296.46,0.15133712,58211.59658
10/3/2017,5:30:32,11502344,296.46,296.45,296.45,15.666,58211.59658
10/3/2017,5:30:40,11502345,296.46,296.45,296.45,0.5272,58282.87273
10/3/2017,5:30:48,11502346,296.46,296.45,296.46,0.00006726,58282.87273
10/3/2017,5:30:52,11502347,296.46,296.45,296.45,4.4,58282.87273
10/3/2017,5:31:02,11502348,296.46,296.45,296.46,0.00003363,58282.87273
10/3/2017,5:31:11,11502349,296.46,296.45,296.46,5.2484,58282.87273
10/3/2017,5:31:28,11502350,296.46,296.45,296.45,10,58282.87273
10/3/2017,5:31:43,11502354,296.46,296.45,296.46,0.35435,58218.20502
10/3/2017,5:32:03,11502355,296.46,296.45,296.46,0.00003363,58218.20502
10/3/2017,5:32:14,11502356,296.46,296.45,296.46,0.3256,58218.20502
10/3/2017,5:32:23,11502357,296.46,296.45,296.46,6.7,58232.04388
10/3/2017,5:32:46,11502358,296.46,296.45,296.46,1.4018,58232.04388
10/3/2017,5:33:03,11502359,296.46,296.45,296.46,0.00003363,58232.04388
10/3/2017,5:33:17,11502360,296.46,296.45,296.45,1.7076,58233.69744
10/3/2017,5:33:33,11502365,296.46,296.45,296.46,15.20609454,58233.69744
10/3/2017,5:33:48,11502367,296.46,296.45,296.46,1.37880313,58233.69744
10/3/2017,5:34:02,11502368,296.46,296.45,296.46,0.00003363,58238.8079
10/3/2017,5:34:19,11502369,296.46,296.45,296.46,0.0465,58238.8079
10/3/2017,5:34:34,11502370,296.46,296.45,296.45,16.54237552,58238.8079
10/3/2017,5:34:41,11502371,296.46,296.45,296.45,6.524,58238.8079
10/3/2017,5:34:51,11502372,296.46,296.45,296.46,2.0136,58239.0763
10/3/2017,5:35:03,11502373,296.46,296.45,296.46,0.00003363,58239.0763
10/3/2017,5:35:07,11502374,296.46,296.45,296.46,1.00891416,58239.0763
10/3/2017,5:35:22,11502399,296.41,296.4,296.4,0.75770319,58239.0763
10/3/2017,5:35:25,11502400,296.41,296.4,296.41,0.00006727,58239.0763
10/3/2017,5:35:45,11502413,296.31,296.3,296.3,17.9965845,58241.82119
10/3/2017,5:35:53,11502415,296.31,296.3,296.3,1,58241.82119
10/3/2017,5:36:02,11502417,296.31,296.3,296.31,0.00003364,58241.82119
10/3/2017,5:36:05,11502431,296.21,296.2,296.2,1.1375344,58241.82119
10/3/2017,5:36:06,11502437,296.18,296.17,296.17,8.2610344,58241.82119
10/3/2017,5:36:13,11502463,296.01,296,296,1.45736638,58241.82119
10/3/2017,5:36:15,11502481,295.9,295.89,295.89,14.99838469,58241.82119
10/3/2017,5:36:19,11502506,295.71,295.7,295.7,3.98242593,58241.82119
10/3/2017,5:36:24,11502507,295.71,295.7,295.71,1.6453,58241.82119
10/3/2017,5:36:50,11502526,295.62,295.61,295.61,158.6145312,58332.72878
10/3/2017,5:36:55,11502527,295.62,295.61,295.61,0.7177,58332.72878
10/3/2017,5:37:03,11502528,295.62,295.61,295.62,0.00003372,58332.72878
10/3/2017,5:37:13,11502529,295.62,295.61,295.62,10.00314124,58332.72878
10/3/2017,5:37:26,11502530,295.62,295.61,295.61,2.1459,58434.91974
10/3/2017,5:37:58,11502531,295.62,295.61,295.62,1.3005,58434.91974
10/3/2017,5:37:58,11502532,295.62,295.61,295.61,0.36720038,58434.91974
10/3/2017,5:38:02,11502533,295.62,295.61,295.62,0.00003372,58434.91974
10/3/2017,5:38:18,11502536,295.62,295.61,295.62,1.19983372,58598.85803
10/3/2017,5:38:19,11502537,295.62,295.61,295.62,4.24785,58598.85803
10/3/2017,5:38:21,11502553,295.62,295.61,295.62,2.16475367,58598.85803
10/3/2017,5:38:29,11502554,295.62,295.61,295.62,2.7005,58598.85803
10/3/2017,5:38:32,11502558,295.63,295.62,295.62,7.99999972,58598.85803
10/3/2017,5:38:37,11502562,295.64,295.63,295.63,2.200534,58598.85803
10/3/2017,5:38:40,11502572,295.7,295.69,295.7,1.33508708,58598.85803
10/3/2017,5:39:00,11502573,295.7,295.69,295.7,2.5161,58648.15859
10/3/2017,5:39:02,11502574,295.7,295.69,295.7,0.00003371,58648.15859
10/3/2017,5:39:28,11502575,295.7,295.69,295.7,6.74338162,58648.15859
10/3/2017,5:39:31,11502576,295.7,295.69,295.7,2.3282,58648.15859
10/3/2017,5:40:01,11502577,295.7,295.69,295.7,0.00337169,58651.06291
10/3/2017,5:40:03,11502579,295.7,295.69,295.7,4.0309,58651.06291
10/3/2017,5:40:24,11502580,295.7,295.69,295.7,0.00421461,58651.06291
10/3/2017,5:40:31,11502581,295.7,295.69,295.69,1.44736702,58651.06291
10/3/2017,5:40:34,11502583,295.7,295.69,295.7,0.00006743,58651.06291
10/3/2017,5:41:02,11502584,295.7,295.69,295.7,0.00003371,58655.60365
10/3/2017,5:41:05,11502585,295.7,295.69,295.7,0.2267,58655.60365
10/3/2017,5:41:36,11502588,295.7,295.69,295.69,20.88391322,58651.8539
10/3/2017,5:42:03,11502589,295.7,295.69,295.7,0.00003371,58651.8539
10/3/2017,5:42:08,11502590,295.7,295.69,295.7,2.0955,58651.8539
10/3/2017,5:42:39,11502602,295.64,295.63,295.65,15.04555382,58654.90876
10/3/2017,5:42:55,11502617,295.56,295.55,295.55,0.03282867,58654.90876
10/3/2017,5:43:02,11502618,295.56,295.55,295.56,0.00003373,58654.90876
10/3/2017,5:43:10,11502623,295.55,295.54,295.54,89.58197202,58654.90876
10/3/2017,5:43:13,11502624,295.55,295.54,295.55,8.36603706,58805.3459
10/3/2017,5:43:41,11502625,295.55,295.54,295.54,81.2319,58805.3459
10/3/2017,5:44:02,11502626,295.55,295.54,295.55,0.00003373,58994.33274
10/3/2017,5:44:12,11502627,295.55,295.54,295.55,0.7016,58994.33274
10/3/2017,5:44:36,11502628,295.55,295.54,295.55,0.06746804,58994.33274
10/3/2017,5:44:43,11502629,295.55,295.54,295.54,0.5748,58994.33274
10/3/2017,5:45:03,11502632,295.55,295.54,295.54,29.166429,59071.1321
10/3/2017,5:45:08,11502634,295.55,295.54,295.54,212.6884113,59071.1321
10/3/2017,5:45:10,11502635,295.55,295.54,295.54,1.142577,59071.1321
10/3/2017,5:45:10,11502636,295.55,295.54,295.54,5.865,59071.1321
10/3/2017,5:45:14,11502637,295.55,295.54,295.54,0.3653,59071.1321
10/3/2017,5:45:28,11502639,295.55,295.54,295.54,8.312,59071.1321
10/3/2017,5:45:30,11502640,295.55,295.54,295.54,49.875438,59071.1321
10/3/2017,5:45:32,11502642,295.55,295.54,295.54,75.524,59071.1321
